nom_commune,nom,siren,code_naf,tranche_effectif,adresse,cp_entreprise,latitude,longitude,libelle_naf,libelle_tranche
PONT-DE-CLAIX,CROIX ROUGE FRANCAISE,775672272,88.99B,53,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014,45.123,5.7017,Action sociale sans hébergement n.c.a.,10 000 salariés et plus
PONT-DE-CLAIX,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.123,5.7017,Autres intermédiations monétaires,10 000 salariés et plus
PONT-DE-CLAIX,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,20 RUE EUGENE FLACHAT 75017 PARIS,75017,45.123,5.7017,Autres organisations fonctionnant par adhésion volontaire,10 à 19 salariés
PONT-DE-CLAIX,ORANGE,380129866,61.10Z,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130,45.123,5.7017,Télécommunications filaires,10 000 salariés et plus
PONT-DE-CLAIX,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.123,5.7017,Restauration collective sous contrat,10 000 salariés et plus
VIZILLE,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.0728,5.7813,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
VIZILLE,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.0728,5.7813,Production d'électricité,10 000 salariés et plus
VIZILLE,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.0728,5.7813,Services auxiliaires des transports terrestres,10 000 salariés et plus
VIZILLE,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.0728,5.7813,Autres intermédiations monétaires,10 000 salariés et plus
VIZILLE,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.0728,5.7813,Restauration collective sous contrat,10 000 salariés et plus
VIZILLE,LIDL,343262622,47.11D,53,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290,45.0728,5.7813,Supermarchés,10 000 salariés et plus
VIZILLE,CREDIT LYONNAIS,954509741,64.19Z,53,18 RUE DE LA REPUBLIQUE 69002 LYON,69002,45.0728,5.7813,Autres intermédiations monétaires,10 000 salariés et plus
VIZILLE,ENEDIS,444608442,35.13Z,53,4 PLACE DE LA PYRAMIDE 92800 PUTEAUX,92800,45.0728,5.7813,Distribution d'électricité,10 000 salariés et plus
VIZILLE,SODEXO SANTE MEDICO SOCIAL,338253081,56.29A,52,6 RUE DE LA REDOUTE 78280 GUYANCOURT,78280,45.0728,5.7813,Restauration collective sous contrat,5 000 à 9 999 salariés
VIZILLE,ENGIE ENERGIE SERVICES,552046955,35.30Z,53,67 RUE JULES FERRY 92250 LA GARENNE-COLOMBES,92250,45.0728,5.7813,Production et distribution de vapeur et d'air conditionné,10 000 salariés et plus
VOREPPE,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.2861,5.6417,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
VOREPPE,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.2861,5.6417,Autres services de restauration n.c.a.,10 000 salariés et plus
VOREPPE,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.2861,5.6417,Autres intermédiations monétaires,10 000 salariés et plus
VOREPPE,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.2861,5.6417,Services auxiliaires des transports terrestres,10 000 salariés et plus
VOREPPE,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.2861,5.6417,Autres intermédiations monétaires,10 000 salariés et plus
